num,page found,term found,freq dist,author,date,secondary title,primary title,summary,text,link
1,False,,,,,,,,,
2,False,,,,,,,,,
3,True,False,0.0,REUTERS,21 February 2017 - 03:00,,Uber hires ex-U.S. Attorney General Holder to probe sexual harassment,,"Uber Technologies Inc has hired former U.S. Attorney General Eric Holder to conduct a review of sexual harassment claims at the ride-hailing service made by a former employee. Holder and Tammy Albarran, who are partners at the law firm Covington & Burling, will look into the complaints about a manager at Uber, as well as general questions about diversity and inclusion, Chief Executive Travis Kalanick told his employees in a memo on Monday that was seen by Reuters. Last year, Airbnb hired Holder, who served under former President Barack Obama, to help craft a policy to combat discrimination occurring through the online lodging service's platform. Arianna Huffington, who joined Uber's board last year, Liane Hornsey, Uber's chief human resources officer, and Angela Padilla, the company's associate general counsel, will also help conduct the review, Kalanick said in the memo. Huffington, Kalanick and Hornsey will meet on Tuesday, the memo said. Susan Fowler, the former Uber employee who complained of being the target of sexual harassment by her manager, wrote in a blog post on Sunday that when she reported the offense to human resources officials and management, they declined to punish the alleged offender because he ""was a high performer"" and that this was his first offense."" Fowler also said, after speaking with other female employees, she realized that both HR and management had been lying about this being the manager's ""first offense."" In a statement sent to Reuters on Sunday, Kalanick called Fowler's allegations ""abhorrent and against everything Uber stands for and believes in."" Fowler's tale prompted a backlash, including calls for a revival of the #DeleteUber movement. Some protesters urged a boycott of the ride service over allegations it sought to profit from the chaos at New York's John F. Kennedy Airport last month, after President Donald Trump’s executive order barring entry to people from seven Muslim majority countries. Many women working in Silicon Valley, particularly in highly technical roles, say they have experienced misogyny and harassment in the male-dominated field. Technology companies are under mounting pressure to make their workforces more diverse by hiring more women, blacks and Latinos - but progress has been slow. ""There have been many questions about the gender diversity of Uber's technology teams,"" Kalanick said. Uber will publish a broader diversity report for the company in the coming months, he said. ""I believe in creating a workplace where a deep sense of justice underpins everything we do,"" Kalanick said. ""Every Uber employee should be proud of the culture we have and what we will build together over time.""",http://www.the-star.co.ke/news/2017/02/21/uber-hires-ex-us-attorney-general-holder-to-probe-sexual-harassment_c1510515
4,True,True,3.0,Editor,16 February 2019 - 00:00,,Caroline Mwatha: Time to talk about safe abortion,,"The tragic death of activist Caroline Mwatha, who died of a botched abortion — whether voluntarily procured or forcibly performed — should make us reflect of safe abortion. We should also ponder decriminalising the procedure in the first trimester, the practice in many Western countries. Opinion in Kenya is deeply divided. No one on either side of the debate likes the idea of abortion. Some are absolutely opposed, even in the case of a 9-year-old girl raped, made pregnant by her father and kicked out of her home. They say it's murder, even at the moment of conception, though the medical definition of pregnancy is embedding of a fertilised egg in the wall of the uterus. They further say that legalising abortion would promote promiscuity. Kenyan law makes abortion illegal in virtually all circumstances, unless a certified health professional says the life or health of the mother is in danger. In 2013 the Health ministry withdrew guidelines on performing safe abortions, a simple procedure early on, and on handling botched abortions. It has banned health workers from training on abortion. This is wrong and hasn't stopped women from seeking and dying from back-alley abortions. Let's give thought to saving lives.",http://www.the-star.co.ke/news/2019/02/16/caroline-mwatha-time-to-talk-about-safe-abortion_c1895281
5,True,True,0.0,MAGDALINE SAYA @SayaMadge,20 February 2019 - 18:00,,Haki Africa calls for formal recognition of social justice centres,,"Haki Africa has called for the formal recognition of social justice centres and their work in the county. In a statement on Wednesday to mark the United Nations World Day for Social Justice, the organisation said many of the grassroots campaigners have lost their lives in their quest for social justice. Haki Africa executive director Hussein Khalid said as a country we must safeguard our rights and freedoms. ""This includes ensuring those fighting for rights of others are equally protected,"" Khalid said. ""We will not allow the county to go back to the dark days of the 1980s of detention without trial, imprisonment without fair hearing and killing without justice,"" he said. Nairobi alone has more than 11 justice centres. He said the government has a duty to not only support human rights but also support social justice activists. He said the workers have to be protected as they are operating under very dangerous circumstances hence their lives remain at risk. The day is dedicated to recognising that social justice is an underlying principle for peaceful and prosperous coexistence within and among nations. The day comes as the family of late Caroline Mwatha prepares for her burial this Saturday. Mwatha was a founding member and a senior official at the Dandora Community Justice Centre. She was reported missing and later her lifeless body found at City mortuary. An autopsy conducted confirmed reports by police she had died from a botched abortion. The activist was documenting several cases of extrajudicial killings of youth by police in Dandora. Read; Also read;",http://www.the-star.co.ke/news/2019/02/20/haki-africa-calls-for-formal-recognition-of-social-justice-centres_c1897700
6,True,False,0.0,By FELIX OLICK AND JAMES MBAKA,28 November 2018 - 06:00,,Boardroom tussles rock Kenya Pipeline,,"Sharp divisions in the top management are threatening to paralyse the troubled Kenya Pipeline Company. Yesterday, a make-or-break board meeting aborted over a quorum hitch amid claims that the fuel loss “scandal” was being engineered by a section of disgruntled board members to force management changes. Internal documents show the company has declined to pay oil marketers for the loss of 11 million liters of fuel, which has accentuated boardroom wars at the critical corporation. The botched meeting convened by KPC board chairman John Ngumi was to to seal the fate of managing director Joe Sang and some senior managers at the corporation. “The purpose of the aborted board meeting was simple, to send the entire management packing. If they think the MD has not performed, why don’t they decline to renew his contract instead or come up with tangible areas of poor performance and table them during performance appraisal instead of resorting to unorthodox means,” a source within KPC told the Star. Insiders who spoke to the Star in confidence for fear of reprisal blamed Ngumi for the series of “manufactured” scandals. “It’s unbelievable and unheard of that a board chairman would be behind scandalizing an organization he is meant to steer to greater heights,” said one source. Ngumi was not available for a comment as his phones were off most of yesterday. Unconfirmed reports indicated he was airborne to Mauritius. He has previously said he was not against anyone at the company but vowed never to tolerate incompetence. Turf wars pitting Ngumi against Managing Director Sang have persisted for some time, spilling to Parliament two weeks ago where they were forced by MPs to clarify allegations of dirty wars. To avert bitter exchanges in public, the National Assembly Energy committee chaired by Naivasha Town East MP David Gikaria was forced to conduct different sessions with Ngumi and Sang's team. While Ngumi accused the management of incompetence and inefficiency, Sang downplayed the frosty relationship and insisted all was well and the board was working in harmony with his team. Read: The anticipated expiry of Sang's term in March 2019, although he is eligible for extension of one more term of three years, is said to be at the centre of the standoff. It has triggered a vicious succession battle at the lucrative oil transporting firm. The list of directors who attended or were absconded from the meeting exposes the alignment and behind-the-scenes intrigues at the firm. As a signal of the seriousness of the crisis at KPC, Petroleum PS Andrew Kamau yesterday turned up for the meeting where he would ordinarily be represented by Huson Andambi. Also present were Ngumi — who is serving a second term as board chairman — and directors Rita Okuthe and Winnie Mukami. Those who did not turn up were alternate director (Treasury) Erick Korir, directors Jinaro Kibet and Felicity Biriri. The terms of two other directors, Iltasayon Neepe and Wahome Gitonga, have expired. The nine-member board requires at least 6 directors to form a quorum. COMPENSATION The contract with oil marketers seen by the Star protects the corporation from compensating for losses below 0.25 per cent of the total amount of fuel pumped through the pipeline within a period of six months. It states: “KPC shall be liable to and undertakes to indemnify the OMC for all losses of Products while such Products are in KPC's custody, including but not limited to, mal-operation of the pipelines, the terminals or appurtenant facilities, including pump stations, pipeline breaks, leaks and pilfering where such losses exceed 0.25% of products calculated by volume at 20 0 C within a period of six monthly moving average,” Oil marketing companies importing the product into the country are themselves compensated for ocean loss of up to 0.5% of the cost, insurance and freight (CIF). According to Kenya Pipeline, the firm only lost 0.15 per cent in the 2017/2018 financial year, which is much lower than the compensation threshold set out in the agreement. According to gain/loss provision, KPC had a loss of 0.17 per cent in 2014/2015, 0.2 per cent in 2015/2016 and 0.13 per cent in 2016/2017. The latest loss means that KPC’s insurer will not come in to compensate for the lost fuel as the insurance firms can only compensate for loss above 0.25 per cent. According to the documents, Kenya Pipeline lost 11.646 million litres — 5.956 million in spillage and 5.69 million to theft. KPC moved in excess of 12 billion litres during that period on behalf of the oil marketers and the loss was recorded between March 2017 and May 2018 in nine separate incidences. Five spillages occurred at Konza between KM391 and 395KM resulting in a loss of 3.805 million litres in what the management attributed to corrosion of the 40-year-old pipeline. “The corporation says the line is 15 years beyond its replacement date. In what is perhaps the greatest challenge for KPC, fuel within the pipeline travels at a speed of 13,000 liters per minute or 800,000 litres per hour when in live operation and pressures up 40 bars. This means that in case of a burst, KPC risks losing millions of fuel in split seconds. “We have seen arguments that there is no convincing evidence of spillage. But we must always remember that fuel is volatile and will easily evaporate,” a source at KPC said. Read: The company established that it lost 4.49 million liters through theft at Koru near Kisumu where illegal connections were expertly done by the perpetrators. KPC said there was an underground network of pipes connecting to an above-ground tank as well as fuel station underground tanks. “The operation was difficult to detect because the trucks loaded at the fuel service station in the neighborhood,” the company concluded. Two suspects in the Koru pilferage were nabbed and charged on 15 November 2017. In May this year, KPC says it lost 1.2 million liters of fuel at Ngong Forest in another illegal connection but no suspect has been arrested so far. KPC also lost 1.151 million liters at KM40 and KM 27 which they attributer to corrosiveness of the pipes due to high soil salinity. KPC moves in excess of 13billion litres during the two-year period on behalf of the oil marketers. KPC documents indicate that there was a book balance and physical stock differential of approximately 23 Million litres which, at Sh100 per litre including taxes, would make the 2.3 billion litres loss quoted by a local daily. “If you add all the operational costs, line product theft plus the oil spillage you will get to the 23 million litres,” a source claimed, disputing the alleged scandal. Absolving the management, the report states: “The spillages mainly due to old age of the pipeline were not entirely unexpected bearing in mind the age of the pipeline, wear and tear, and topography of some sections through which the pipeline traverses, whose soil accelerates corrosion thus causing pipeline burst and spillages.” Also Read:",https://the-star.co.ke/news/2018-11-28-boardroom-tussles-rock-kenya-pipeline/
7,True,True,9.0,Kagweni Micheni,22 November 2018 - 00:15,,[VIDEO] Harsh realities behind the moral debate on abortion,,"In a dark, nondescript room, the walls caked in spots and smears whose origins she would rather not think about, a young girl sits wringing her hands, waiting for the woman she had been told could help her. She takes one deep breath after another, telling herself it will be okay, there is no other option, she has to be there. Eventually the door slowly starts to open, bathing the room in light that does nothing other than illuminate the dilapidated hospital bed in the corner. “You, lie over there!” The order is barked to her by the disinterested newcomer. She does not seem to notice the scared girl, frozen to her seat. She cannot see the terror in the young girl’s eyes, or the desperate need for reassurance that she is making the right choice. To the woman, this girl is one of many who pass through her door. Nothing more than a chance to make a few thousand shillings. “Lie down!” This time the girl slowly makes her way to the bed, and she soon finds herself on her back, looking up at the dark ceiling with its broken fan and single light bulb swaying. She tries to concentrate on that, the swinging of the bulb. Back and forth, back and forth. Maybe if she pays attention to that, she won’t have to think about what is about to happen to her. Out of the corner of her eye, the girl notices a new person entering the room. Suddenly, her legs have been spread and pinned down. A clammy hand is clamped over her mouth and it begins. “She used a hanger on me. Someone was holding my legs down so I couldn’t move, then they put it inside me. I remember screaming and screaming so much I couldn’t breath. I won’t forget that pain, not for as long as I live,” she later recalls. DEADLY OPERATION As the girl lies in bed, her mattress slowly soaking in blood, clutching her stomach as shooting pains render her immobile, she knows she’s one of the lucky ones. While she prays for the pain to end, she knows girls who didn’t wake up. “I know it was dangerous. I know a girl who died when she bled too much. Her mother found her. I knew all this. But I didn’t have a choice. I didn’t have anyone to turn to, it is what it is.” When I asked her if she would do it again, knowing now exactly what she would have to experience, her answer was quick and to the point. “Yes.” The World Health Organisation has found that Middle and Eastern Africa have the highest global rate of unsafe abortions at 36 per 1,000 women. In Kenya, unsafe abortions are one of the major causes of maternal deaths. “An unsafe abortion is defined as a procedure for terminating an unwanted pregnancy, either by persons lacking the necessary skills or in an environment lacking minimal medical standards or both,” says Dr Caroline Tatua, a senior health systems adviser. Every year, 2,600 women die from unsafe abortions. That’s seven women dying daily, accounting for 35 per cent of maternal mortality. The global rate is 13 per cent. Women and girls are dying every day, whether it’s because of the stigma surrounding abortions, a lack of information or not knowing your rights. MARIE STOPES ON THE SPOT In Kenya under the 2010 Constitution, abortions are not permitted unless in the opinion of a trained health professional, there is a need for emergency treatment, or the life or health of the mother is in danger, or if permitted by any other written law. On Friday, the Kenya Medical Practitioners and Dentists Board caused a stir when it banned international group Marie Stopes from offering abortion services. Marie Stopes has been the stop for many who seek to undo unplanned pregnancies. It has operated in Kenya since 1985, and has set up 22 clinics and 15 mobile outreach clinics. KMPDB boss Daniel Yumbya said: “Marie Stopes Kenya is hereby directed to immediately cease and desist offering any form of abortion services in all its facilities within the republic of Kenya.” The move came after the Kenya Film Classification Board ordered the clinic to pull down radio and online advertisements they alleged promoted abortions. Marie Stopes deferred comment on the matter when reached for response. However, it says on its website that it operates within the law: “We offer counselling services, including post-abortion care, to reduce the risks of any woman experiencing problems after a miscarriage or unsafe abortion procedure.” The clinic further says it offers surgical abortion, which is safe and may be used to terminate a pregnancy at various stages of gestation. Its slogans include “ Children by Choice not Chance ” and “ Helping You Manage Your Options ” . There is a fear that by stopping Marie Stopes from providing a service that is so desperately needed, the KMPDB is condemning thousands of women and girls to unsafe abortions, leading to complications, infections and deaths. But what would happen if Marie Stopes didn’t exist? What if the organisation had not set up a base in Kenya to provide not only reproductive health services but abortion services, too? IMPACT OF BAN Approximately 464,000 abortions are conducted each year. Last year, Marie Stopes averted 208,979 unsafe abortions. If they were not there, if just 40 per cent of that number chose to have an unsafe abortion, that leaves 83,592 women who have put their lives at risk. Of that number, if only five per cent died, that would be 4,180 women. Since abortions have only been permitted since 2010, that would be 29,258 women dead since that time. On top of the loss in life, financially, the healthcare system would seriously be impacted. According to the Health ministry and the African Population and Health Research Centre, Kenya has spent Sh533 million treating complications of unsafe abortions in public health facilities. Those are millions of shillings that are desperately needed in a system that is already heavily burdened, and a cost that would only increase as more and more women are driven to quack doctors. Doctors who would use crude, unhygienic methods with no thought to aftercare. Choosing to have an abortion is more than deciding to have the procedure. There are a number of psychological demands on the body that must also be met. Psychologically, women, and in particular young girls, can be severely affected and, therefore, need to have someone they can talk to. By removing access to trained professionals who can counsel these women, the KMPDB is arguably denying them the chance to truly heal from the experience. That said, abortion is an extremely divisive topic in a country ruled largely by religious and moral beliefs. C ounsellor Patrick Masiga told the Star he does not approve of it. He said although he believes there is safe abortion supported by the Constitution, he has received many cases of young girls who regret this dire decision. “Everything happens for a reason. Even those who go through the pain of rape should not undergo abortion because that child is innocent. Abortion leaves a scar for many of these women,” he said. On the other hand, one of the main reasons women choose to go the illegal, dangerous route of backstreet abortions is that they are unable to have open, honest conversations about it. What this ban has done is say that anyone brave enough to highlight the subject, or even mention it in any way, will be met with opposition at the highest level. It vilifies a service that is desperately needed to save lives, and drives women and girls to the seedy underworld of unsafe abortions. One thing that was made clear while talking to people on the streets about abortions is that while some may have been staunchly against it, every single person talked to either knew someone who had had an unsafe abortion, or knew where to take someone if need be. Stopping Marie Stopes from providing abortions services will not stop abortions from happening in Kenya. But it will increase the number of women seeking unsafe abortions. And it will continue to kill our women. Additional reporting by Melanie Mwangi",https://the-star.co.ke/news/big-read/2018-11-22-video-harsh-realities-behind-the-moral-debate-on-abortion/
8,True,True,0.0,HENRY KIBIRA,15 November 2012 - 00:00,,"Use family planning methods, Sambili urges",,"THE government is calling on the public to embrace family planning methods to control the country’s soaring population growth. Speaking yesterday in Nairobi at the launch of United Nations Population Fund’s 2012 State of the World report, Planning PS Edward Sambili asked the public health sector to improve its facilities to enable them address its needs. Sambili said family planning will help reduce abortions, which currently stand at 300,000. In a speech read on his behalf by the director of administration, John Nandasaba, Sambili attributed the skyrocketing poverty indices to reluctance by Kenyans to use contraceptives. “Unplanned pregnancies are reversing the economic gains being made, while contributing to the rising cases of abortions,” Sambili said. According to the report, whose theme is Family Planning, Human Rights and Development, one in every four women would like to delay or stop child bearing but do not use any family planning methods. The report calls for measures that will increase the uptake of family planning services to the 15-24 age group, which is hardest hit. It recommends the provision of knowledge and improvement of access to geographical regions that have difficulties in acquiring family planning services. The report appeals for an uptake of contraceptives to lower the current fertility rate from 4.6 per cent to two per cent. “We need to increase access to FP services so that women and couples who need them can enjoy their benefits,” said Eliud Wekesa, a lead researcher from the University of Nairobi. If not checked, Kenya’s population, currently at 40 million, is predicted to soar to 64 million in 2030. The National Council for Population and Development CEO Boniface K’Oyugi reiterated the need to manage the population, saying it will play a critical role in realising the Kenya Vision 2030 goals. “We hope to achieve the goal of two children per household in 2050 if we encourage the public to embrace the use of contraceptives,” K’Oyugi said.",https://www.the-star.co.ke/news/2012-11-14-use-family-planning-methods-sambili-urges/
9,False,,,,,,,,,
10,False,,,,,,,,,
